,cap,County,Fully.Loaded.Tested.Heat.Rate.Btu.kWh...Modeled,ORIS_Plant_Code,Commercial.Online.Year,Online_Yr_OG,PlantType,Plant_Name,RetireYearGiven,Retire_Yr_OG,RetireYear,Scrub_Match,Scrubber_Efficiency,Scrubber_Online_Year,State_Name,UniqueID,Unit_ID,Wet/DryScrubber,pca,resource_region,tech,Retire_Age,NukeRetireBin,Nuke80RetireYear,Nuke60RetireYear,NukeEarlyRetireYear,NukeRefRetireYear,IsExistUnit,ct,ctt,wst,coolingwatertech,Plant.NAICS.Description,Commercial.Online.Year.Quarter
15,10.0,Jefferson,8300,10003,1979,1979,O/G Steam,Colorado Energy Nations Company,False,9999.0,2100,,,,Colorado,10003_B_BLR5,BLR5,,p33,82,o-g-s,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1979-1
16,2.2,Duval,16297,10008,1983,1983,Combustion Turbine,Baptist Medical Center,False,9999.0,2100,,,,Florida,10008_G_TG-2,TG-2,,p101,310,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1983-1
17,2.7,Duval,16297,10008,1986,1986,Combustion Turbine,Baptist Medical Center,False,9999.0,2100,,,,Florida,10008_G_TG-3,TG-3,,p101,310,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1986-1
18,3.2,Duval,12445,10008,1993,1993,Combustion Turbine,Baptist Medical Center,False,9999.0,2100,,,,Florida,10008_G_TG-4,TG-4,,p101,310,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1993-1
19,500.0,Vermillion,10337,1001,1970,1970,Coal Steam,Cayuga,True,9999.0,2008,Unscrb,,,Indiana,1001_B_1,1,,p105,221,CoalOldUns,38.0,,2008,2008,2008,2008,True,none,none,none,none,Utilities,1970-1
20,495.0,Vermillion,10397,1001,1972,1972,Coal Steam,Cayuga,True,9999.0,2008,Unscrb,,,Indiana,1001_B_2,2,,p105,221,CoalOldUns,36.0,,2008,2008,2008,2008,True,none,none,none,none,Utilities,1972-1
21,3.0,Vermillion,11293,1001,1972,1972,Combustion Turbine,Cayuga,False,9999.0,2100,,,,Indiana,1001_G_31,31,,p105,221,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1972-1
22,3.0,Vermillion,11287,1001,1972,1972,Combustion Turbine,Cayuga,False,9999.0,2100,,,,Indiana,1001_G_32,32,,p105,221,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1972-1
23,2.0,Vermillion,11267,1001,1972,1972,Combustion Turbine,Cayuga,False,9999.0,2100,,,,Indiana,1001_G_33,33,,p105,221,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1972-1
24,2.0,Vermillion,11267,1001,1972,1972,Combustion Turbine,Cayuga,False,9999.0,2100,,,,Indiana,1001_G_34,34,,p105,221,gas-CT,9999.0,,2100,2100,2100,2100,True,none,none,none,none,Utilities,1972-1
