NukeEarlyRetireYear,pca,tech,coolingwatertech,cap
2048.0,p103,nuclear,dum,1141.0
2048.0,p28,nuclear,dum,1312.0
2048.0,p65,nuclear,dum,1280.0
2048.0,p80,nuclear,dum,2337.0
2049.0,p65,nuclear,dum,1280.0
2049.0,p94,nuclear,dum,1152.0
2050.0,p122,nuclear,dum,1122.1
2050.0,p130,nuclear,dum,1250.9
2050.0,p63,nuclear,dum,1205.0
2053.0,p63,nuclear,dum,1195.0
2056.0,p92,nuclear,dum,1123.0
2076.0,p92,nuclear,dum,1122.0
2079.0,p96,nuclear,dum,1100.0
2080.0,p96,nuclear,dum,1100.0
2082.0,p94,nuclear,dum,1100.0
2083.0,p94,nuclear,dum,1100.0
9999.0,p1,biopower,dum,29.1
9999.0,p1,gas-CC,dum,796.9
9999.0,p1,gas-CT,dum,670.7
9999.0,p1,hydro,dum,3285.900000000001
9999.0,p1,lfill-gas,dum,9.899999999999999
9999.0,p1,other,dum,60.6
9999.0,p10,biopower,dum,149.5
9999.0,p10,gas-CC,dum,10165.600000000002
9999.0,p10,gas-CT,dum,5901.800000000005
9999.0,p10,hydro,dum,1235.8999999999996
9999.0,p10,lfill-gas,dum,244.6
9999.0,p10,o-g-s,dum,951.0999999999998
9999.0,p10,other,dum,132.0
9999.0,p10,pumped-hydro,dum,1626.6
9999.0,p100,gas-CC,dum,1472.2
9999.0,p100,gas-CT,dum,15.0
9999.0,p100,hydro,dum,2.4000000000000004
9999.0,p100,lfill-gas,dum,2.0
9999.0,p101,CoalOldScr,dum,4620.0
9999.0,p101,biopower,dum,280.20000000000005
9999.0,p101,coal-IGCC,dum,220.0
9999.0,p101,coal-new,dum,1042.0
9999.0,p101,gas-CC,dum,20416.099999999995
9999.0,p101,gas-CT,dum,6271.700000000001
9999.0,p101,hydro,dum,43.5
9999.0,p101,lfill-gas,dum,246.10000000000008
9999.0,p101,o-g-s,dum,1643.0
9999.0,p101,other,dum,342.1
9999.0,p102,biopower,dum,105.0
9999.0,p102,gas-CC,dum,10889.0
9999.0,p102,gas-CT,dum,2372.4999999999995
9999.0,p102,lfill-gas,dum,270.5
9999.0,p102,o-g-s,dum,22.0
9999.0,p103,CoalOldScr,dum,3962.0
9999.0,p103,CoalOldUns,dum,2031.0
9999.0,p103,biopower,dum,161.3
9999.0,p103,gas-CC,dum,4518.5
9999.0,p103,gas-CT,dum,4222.8
9999.0,p103,hydro,dum,145.10000000000036
9999.0,p103,lfill-gas,dum,142.09999999999994
9999.0,p103,o-g-s,dum,1942.0
9999.0,p103,other,dum,254.8
9999.0,p103,pumped-hydro,dum,2304.0
9999.0,p104,gas-CC,dum,1064.8000000000002
9999.0,p104,gas-CT,dum,71.8
9999.0,p104,hydro,dum,9.799999999999997
9999.0,p104,lfill-gas,dum,7.8
9999.0,p105,CoalOldScr,dum,1464.0
9999.0,p105,CoalOldUns,dum,30.2
9999.0,p105,gas-CC,dum,1818.01
9999.0,p105,gas-CT,dum,1377.1
9999.0,p105,hydro,dum,15.4
9999.0,p105,lfill-gas,dum,56.39999999999998
9999.0,p105,o-g-s,dum,14.0
9999.0,p105,other,dum,79.89999999999999
9999.0,p106,gas-CC,dum,264.0
9999.0,p106,gas-CT,dum,316.0
9999.0,p106,lfill-gas,dum,5.0
9999.0,p106,o-g-s,dum,634.2
9999.0,p107,CoalOldScr,dum,7457.0
9999.0,p107,CoalOldUns,dum,1615.0
9999.0,p107,coal-IGCC,dum,595.0
9999.0,p107,gas-CC,dum,1724.0
9999.0,p107,gas-CT,dum,1256.6000000000001
9999.0,p107,hydro,dum,45.0
9999.0,p107,lfill-gas,dum,2.2
9999.0,p107,other,dum,12.0
9999.0,p108,CoalOldScr,dum,1314.0
9999.0,p108,gas-CC,dum,1100.0
9999.0,p108,gas-CT,dum,58.0
9999.0,p108,hydro,dum,87.9
9999.0,p109,CoalOldScr,dum,5714.0
9999.0,p109,biopower,dum,3.3
9999.0,p109,coal-new,dum,1268.0
9999.0,p109,gas-CC,dum,663.3
9999.0,p109,gas-CT,dum,3376.9
9999.0,p109,hydro,dum,265.8
9999.0,p109,lfill-gas,dum,20.900000000000006
9999.0,p11,gas-CC,dum,1212.4
9999.0,p11,gas-CT,dum,1411.5
9999.0,p11,hydro,dum,13.700000000000001
9999.0,p11,lfill-gas,dum,16.599999999999998
9999.0,p11,o-g-s,dum,5.199999999999999
9999.0,p11,other,dum,4.6
9999.0,p11,pumped-hydro,dum,42.0
9999.0,p110,gas-CT,dum,825.0
9999.0,p110,o-g-s,dum,260.0
9999.0,p111,CoalOldUns,dum,687.0
9999.0,p111,biopower,dum,7.2
9999.0,p111,coal-new,dum,136.0
9999.0,p111,gas-CC,dum,3452.9
9999.0,p111,gas-CT,dum,1365.3999999999996
9999.0,p111,lfill-gas,dum,72.99999999999997
9999.0,p111,other,dum,1.7999999999999998
9999.0,p112,CoalOldScr,dum,6850.0
9999.0,p112,CoalOldUns,dum,89.6
9999.0,p112,gas-CC,dum,4050.6000000000004
9999.0,p112,gas-CT,dum,2520.3000000000025
9999.0,p112,hydro,dum,99.89999999999998
9999.0,p112,lfill-gas,dum,5.6
9999.0,p112,other,dum,57.60000000000001
9999.0,p113,gas-CT,dum,780.8
9999.0,p114,CoalOldScr,dum,2364.0
9999.0,p114,gas-CC,dum,484.0
9999.0,p114,gas-CT,dum,1278.4
9999.0,p114,hydro,dum,2.0
9999.0,p114,lfill-gas,dum,4.5
9999.0,p114,o-g-s,dum,112.2
9999.0,p114,other,dum,47.0
9999.0,p115,CoalOldScr,dum,2265.0
9999.0,p115,gas-CC,dum,2614.0
9999.0,p115,gas-CT,dum,806.4
9999.0,p115,hydro,dum,113.5
9999.0,p115,lfill-gas,dum,4.8
9999.0,p116,CoalOldScr,dum,6321.0
