RetireYear,pca,tech,coolingwatertech,ctt,wst,cap
2017.0,p65,o-g-s,dum,dum,dum,69.0
2017.0,p67,gas-CT,dum,dum,dum,17.3
2017.0,p67,o-g-s,dum,dum,dum,866.0
2017.0,p68,gas-CT,dum,dum,dum,1.9000000000000001
2017.0,p75,gas-CT,dum,dum,dum,5.0
2017.0,p80,lfill-gas,dum,dum,dum,8.8
2017.0,p81,gas-CT,dum,dum,dum,3.0
2017.0,p83,gas-CT,dum,dum,dum,7.7
2017.0,p85,lfill-gas,dum,dum,dum,0.8
2017.0,p86,gas-CC,dum,dum,dum,59.2
2017.0,p87,gas-CT,dum,dum,dum,16.0
2017.0,p87,o-g-s,dum,dum,dum,29.0
2017.0,p9,gas-CC,dum,dum,dum,26.0
2017.0,p9,gas-CT,dum,dum,dum,30.0
2017.0,p9,lfill-gas,dum,dum,dum,0.9
2017.0,p97,gas-CT,dum,dum,dum,0.2
2017.0,p97,lfill-gas,dum,dum,dum,3.3
2018.0,p10,gas-CC,dum,dum,dum,54.5
2018.0,p10,gas-CT,dum,dum,dum,130.0
2018.0,p10,lfill-gas,dum,dum,dum,13.3
2018.0,p10,o-g-s,dum,dum,dum,640.0
2018.0,p10,other,dum,dum,dum,1.0
2018.0,p101,gas-CC,dum,dum,dum,121.0
2018.0,p101,gas-CT,dum,dum,dum,127.4
2018.0,p102,gas-CC,dum,dum,dum,884.0
2018.0,p102,o-g-s,dum,dum,dum,1652.0
2018.0,p103,gas-CT,dum,dum,dum,120.40000000000002
2018.0,p105,CoalOldScr,dum,dum,dum,480.0
2018.0,p105,gas-CT,dum,dum,dum,64.0
2018.0,p105,other,dum,dum,dum,1.2
2018.0,p107,gas-CT,dum,dum,dum,75.5
2018.0,p107,lfill-gas,dum,dum,dum,3.4
2018.0,p11,gas-CC,dum,dum,dum,116.6
2018.0,p11,gas-CT,dum,dum,dum,9.600000000000001
2018.0,p111,gas-CT,dum,dum,dum,28.6
2018.0,p112,gas-CT,dum,dum,dum,9.0
2018.0,p121,lfill-gas,dum,dum,dum,2.0
2018.0,p122,CoalOldScr,dum,dum,dum,52.0
2018.0,p122,biopower,dum,dum,dum,25.0
2018.0,p122,gas-CT,dum,dum,dum,7.4
2018.0,p123,CoalOldUns,dum,dum,dum,385.0
2018.0,p123,gas-CT,dum,dum,dum,35.3
2018.0,p126,gas-CT,dum,dum,dum,4.1
2018.0,p127,gas-CT,dum,dum,dum,88.4
2018.0,p128,gas-CT,dum,dum,dum,2.0
2018.0,p131,gas-CC,dum,dum,dum,34.2
2018.0,p132,gas-CT,dum,dum,dum,7.199999999999999
2018.0,p132,lfill-gas,dum,dum,dum,1.8
2018.0,p134,o-g-s,dum,dum,dum,94.3
2018.0,p16,hydro,dum,dum,dum,1.4
2018.0,p2,other,dum,dum,dum,16.200000000000003
2018.0,p34,gas-CT,dum,dum,dum,2.0
2018.0,p34,hydro,dum,dum,dum,0.8
2018.0,p36,gas-CT,dum,dum,dum,2.0
2018.0,p40,gas-CT,dum,dum,dum,0.5
2018.0,p43,biopower,dum,dum,dum,55.0
2018.0,p43,gas-CC,dum,dum,dum,360.0
2018.0,p43,gas-CT,dum,dum,dum,17.6
2018.0,p43,lfill-gas,dum,dum,dum,8.4
2018.0,p45,gas-CT,dum,dum,dum,1.1
2018.0,p46,gas-CT,dum,dum,dum,52.0
2018.0,p52,gas-CT,dum,dum,dum,1.8
2018.0,p53,CoalOldUns,dum,dum,dum,72.0
2018.0,p53,o-g-s,dum,dum,dum,705.0
2018.0,p54,lfill-gas,dum,dum,dum,2.4
2018.0,p54,o-g-s,dum,dum,dum,46.0
2018.0,p55,o-g-s,dum,dum,dum,335.0
2018.0,p57,CoalOldScr,dum,dum,dum,795.0
2018.0,p57,CoalOldUns,dum,dum,dum,1070.0
2018.0,p57,o-g-s,dum,dum,dum,73.0
2018.0,p58,gas-CT,dum,dum,dum,11.0
2018.0,p58,o-g-s,dum,dum,dum,662.0
2018.0,p63,CoalOldScr,dum,dum,dum,600.0
2018.0,p63,CoalOldUns,dum,dum,dum,1208.0
2018.0,p63,coal-new,dum,dum,dum,600.0
2018.0,p65,other,dum,dum,dum,23.4
2018.0,p66,other,dum,dum,dum,5.0
2018.0,p67,lfill-gas,dum,dum,dum,11.899999999999999
2018.0,p70,gas-CT,dum,dum,dum,8.1
2018.0,p70,o-g-s,dum,dum,dum,112.0
2018.0,p71,gas-CT,dum,dum,dum,17.6
2018.0,p73,gas-CT,dum,dum,dum,1.0
2018.0,p75,CoalOldUns,dum,dum,dum,210.0
2018.0,p79,CoalOldScr,dum,dum,dum,1188.0
2018.0,p79,gas-CT,dum,dum,dum,2.0
2018.0,p80,gas-CT,dum,dum,dum,2.2
2018.0,p80,lfill-gas,dum,dum,dum,20.8
2018.0,p87,CoalOldScr,dum,dum,dum,360.0
2018.0,p87,gas-CT,dum,dum,dum,50.900000000000006
2018.0,p87,o-g-s,dum,dum,dum,808.5
2018.0,p9,biopower,dum,dum,dum,50.9
2018.0,p9,gas-CC,dum,dum,dum,585.9000000000001
2018.0,p9,lfill-gas,dum,dum,dum,2.6
2018.0,p9,other,dum,dum,dum,2.0
2018.0,p92,CoalOldUns,dum,dum,dum,741.0
2018.0,p95,hydro,dum,dum,dum,16.8
2018.0,p96,gas-CT,dum,dum,dum,49.0
2018.0,p96,hydro,dum,dum,dum,26.999999999999996
2018.0,p98,lfill-gas,dum,dum,dum,1.1
2018.0,p99,gas-CT,dum,dum,dum,1.5
2019.0,p10,gas-CT,dum,dum,dum,118.5
2019.0,p10,lfill-gas,dum,dum,dum,5.1
2019.0,p10,o-g-s,dum,dum,dum,2.8
2019.0,p101,biopower,dum,dum,dum,47.0
2019.0,p101,hydro,dum,dum,dum,11.0
2019.0,p103,CoalOldUns,dum,dum,dum,151.0
2019.0,p103,gas-CC,dum,dum,dum,19.3
2019.0,p103,gas-CT,dum,dum,dum,67.0
2019.0,p103,lfill-gas,dum,dum,dum,64.39999999999999
2019.0,p107,gas-CT,dum,dum,dum,65.0
2019.0,p108,CoalOldScr,dum,dum,dum,312.0
2019.0,p108,o-g-s,dum,dum,dum,65.0
2019.0,p109,CoalOldScr,dum,dum,dum,272.0
2019.0,p109,gas-CT,dum,dum,dum,14.0
2019.0,p11,lfill-gas,dum,dum,dum,9.2
2019.0,p112,CoalOldScr,dum,dum,dum,750.0
2019.0,p112,gas-CT,dum,dum,dum,4.8
2019.0,p112,lfill-gas,dum,dum,dum,4.800000000000001
2019.0,p114,gas-CT,dum,dum,dum,30.6
2019.0,p115,CoalOldScr,dum,dum,dum,2510.0
2019.0,p116,CoalOldScr,dum,dum,dum,50.0
2019.0,p118,lfill-gas,dum,dum,dum,1.8
2019.0,p122,CoalOldScr,dum,dum,dum,155.0
2019.0,p122,lfill-gas,dum,dum,dum,4.7
2019.0,p123,gas-CT,dum,dum,dum,40.8
2019.0,p123,o-g-s,dum,dum,dum,97.0
2019.0,p126,lfill-gas,dum,dum,dum,10.0
2019.0,p126,o-g-s,dum,dum,dum,150.0
2019.0,p127,CoalOldScr,dum,dum,dum,305.0
2019.0,p127,biopower,dum,dum,dum,19.0
2019.0,p127,gas-CT,dum,dum,dum,30.8
2019.0,p127,lfill-gas,dum,dum,dum,4.800000000000001
2019.0,p131,gas-CT,dum,dum,dum,5.8
2019.0,p131,hydro,dum,dum,dum,0.7
2019.0,p132,hydro,dum,dum,dum,2.8
2019.0,p134,biopower,dum,dum,dum,69.0
2019.0,p134,gas-CT,dum,dum,dum,2.0
2019.0,p15,other,dum,dum,dum,4.5
2019.0,p25,CoalOldUns,dum,dum,dum,75.0
2019.0,p28,CoalOldScr,dum,dum,dum,1500.0
2019.0,p28,o-g-s,dum,dum,dum,220.0
2019.0,p30,o-g-s,dum,dum,dum,162.0
2019.0,p34,CoalOldScr,dum,dum,dum,100.0
2019.0,p38,gas-CT,dum,dum,dum,3.8
2019.0,p43,gas-CT,dum,dum,dum,52.0
2019.0,p43,lfill-gas,dum,dum,dum,30.5
2019.0,p46,biopower,dum,dum,dum,18.7
2019.0,p5,hydro,dum,dum,dum,21.9
2019.0,p50,gas-CT,dum,dum,dum,55.0
2019.0,p52,gas-CT,dum,dum,dum,4.1
2019.0,p52,o-g-s,dum,dum,dum,6.0
2019.0,p53,o-g-s,dum,dum,dum,173.0
2019.0,p54,gas-CT,dum,dum,dum,5.5
2019.0,p58,gas-CC,dum,dum,dum,559.0
2019.0,p64,CoalOldScr,dum,dum,dum,470.0
2019.0,p65,gas-CT,dum,dum,dum,2.0
2019.0,p66,biopower,dum,dum,dum,46.0
2019.0,p66,lfill-gas,dum,dum,dum,1.7
2019.0,p67,lfill-gas,dum,dum,dum,5.1
2019.0,p67,o-g-s,dum,dum,dum,292.0
2019.0,p69,gas-CT,dum,dum,dum,0.5
2019.0,p70,gas-CT,dum,dum,dum,0.5
2019.0,p72,biopower,dum,dum,dum,19.0
2019.0,p74,CoalOldScr,dum,dum,dum,41.0
2019.0,p74,CoalOldUns,dum,dum,dum,19.5
2019.0,p76,lfill-gas,dum,dum,dum,0.9
2019.0,p76,other,dum,dum,dum,1.4
2019.0,p78,lfill-gas,dum,dum,dum,6.3999999999999995
2019.0,p81,CoalOldScr,dum,dum,dum,1716.0
2019.0,p81,CoalOldUns,dum,dum,dum,284.0
2019.0,p81,gas-CT,dum,dum,dum,2.7
2019.0,p84,gas-CT,dum,dum,dum,11.900000000000002
2019.0,p87,gas-CT,dum,dum,dum,10.3
2019.0,p87,o-g-s,dum,dum,dum,202.0
2019.0,p89,CoalOldScr,dum,dum,dum,1034.0
2019.0,p9,gas-CC,dum,dum,dum,50.0
2019.0,p9,o-g-s,dum,dum,dum,1.4
2019.0,p90,biopower,dum,dum,dum,56.0
2019.0,p90,hydro,dum,dum,dum,0.2
2019.0,p94,CoalOldScr,dum,dum,dum,840.0
2019.0,p94,CoalOldUns,dum,dum,dum,142.0
2019.0,p94,lfill-gas,dum,dum,dum,1.6
2019.0,p96,nuclear,dum,dum,dum,1100.0
2019.0,p98,CoalOldScr,dum,dum,dum,116.0
2019.0,p99,CoalOldScr,dum,dum,dum,490.4
2019.0,p99,biopower,dum,dum,dum,84.0
2019.0,p99,gas-CC,dum,dum,dum,267.0
2019.0,p99,gas-CT,dum,dum,dum,3.2
2019.0,p99,lfill-gas,dum,dum,dum,3.2
2019.0,p99,o-g-s,dum,dum,dum,543.0
2020.0,p10,gas-CC,dum,dum,dum,690.0
2020.0,p102,coal-new,dum,dum,dum,330.0
2020.0,p103,CoalOldScr,dum,dum,dum,70.0
2020.0,p103,CoalOldUns,dum,dum,dum,190.0
2020.0,p103,gas-CT,dum,dum,dum,8.4
2020.0,p105,gas-CT,dum,dum,dum,31.0
2020.0,p105,other,dum,dum,dum,0.6
2020.0,p108,CoalOldScr,dum,dum,dum,1371.0
2020.0,p112,CoalOldScr,dum,dum,dum,1500.0
2020.0,p122,CoalOldScr,dum,dum,dum,42.0
2020.0,p122,coal-new,dum,dum,dum,110.0
2020.0,p122,lfill-gas,dum,dum,dum,70.3
2020.0,p123,gas-CT,dum,dum,dum,232.5
2020.0,p126,lfill-gas,dum,dum,dum,7.0
2020.0,p127,CoalOldScr,dum,dum,dum,686.0
2020.0,p127,nuclear,dum,dum,dum,1012.1
2020.0,p20,CoalOldScr,dum,dum,dum,614.0
2020.0,p25,gas-CT,dum,dum,dum,1.7999999999999998
2020.0,p28,CoalOldScr,dum,dum,dum,380.0
2020.0,p31,CoalOldScr,dum,dum,dum,247.0
2020.0,p43,CoalOldUns,dum,dum,dum,19.8
2020.0,p43,gas-CT,dum,dum,dum,2.7
2020.0,p43,o-g-s,dum,dum,dum,2.6
2020.0,p50,gas-CT,dum,dum,dum,60.0
2020.0,p54,o-g-s,dum,dum,dum,92.0
2020.0,p55,CoalOldScr,dum,dum,dum,198.0
2020.0,p55,o-g-s,dum,dum,dum,153.0
2020.0,p57,o-g-s,dum,dum,dum,106.0
2020.0,p58,o-g-s,dum,dum,dum,26.0
2020.0,p60,CoalOldScr,dum,dum,dum,650.0
2020.0,p63,gas-CT,dum,dum,dum,1035.0
2020.0,p66,gas-CC,dum,dum,dum,87.2
2020.0,p70,nuclear,dum,dum,dum,601.4
2020.0,p78,other,dum,dum,dum,2.0
2020.0,p9,gas-CT,dum,dum,dum,9.0
2020.0,p90,CoalOldScr,dum,dum,dum,556.0
2020.0,p96,gas-CT,dum,dum,dum,381.0
2020.0,p96,nuclear,dum,dum,dum,1100.0
2021.0,p10,o-g-s,dum,dum,dum,1516.0
2021.0,p107,CoalOldScr,dum,dum,dum,222.0
2021.0,p111,gas-CT,dum,dum,dum,24.0
2021.0,p112,gas-CT,dum,dum,dum,13.0
2021.0,p125,o-g-s,dum,dum,dum,103.0
2021.0,p126,gas-CT,dum,dum,dum,5.8
2021.0,p127,nuclear,dum,dum,dum,1039.4
2021.0,p129,hydro,dum,dum,dum,2.9
2021.0,p132,CoalOldUns,dum,dum,dum,383.0
2021.0,p35,CoalOldScr,dum,dum,dum,53.0
2021.0,p43,CoalOldUns,dum,dum,dum,138.0
2021.0,p69,gas-CT,dum,dum,dum,1.8
2021.0,p70,gas-CC,dum,dum,dum,20.0
2021.0,p82,CoalOldScr,dum,dum,dum,138.0
2021.0,p9,gas-CT,dum,dum,dum,54.0
2021.0,p99,CoalOldScr,dum,dum,dum,104.0
2021.0,p99,o-g-s,dum,dum,dum,786.0
2022.0,p101,CoalOldScr,dum,dum,dum,385.0
2022.0,p101,o-g-s,dum,dum,dum,1624.0
2022.0,p103,CoalOldUns,dum,dum,dum,1857.0
2022.0,p104,nuclear,dum,dum,dum,783.5
2022.0,p116,CoalOldScr,dum,dum,dum,1288.0
2022.0,p12,o-g-s,dum,dum,dum,113.0
2022.0,p131,o-g-s,dum,dum,dum,571.0
2022.0,p31,o-g-s,dum,dum,dum,91.0
2022.0,p34,CoalOldScr,dum,dum,dum,325.0
2022.0,p36,CoalOldScr,dum,dum,dum,75.0
2022.0,p36,CoalOldUns,dum,dum,dum,30.0
2022.0,p37,CoalOldScr,dum,dum,dum,1141.0
2022.0,p43,CoalOldScr,dum,dum,dum,682.0
2022.0,p59,o-g-s,dum,dum,dum,74.0
2022.0,p69,gas-CT,dum,dum,dum,3.7
2022.0,p70,CoalOldUns,dum,dum,dum,214.0
2022.0,p72,CoalOldUns,dum,dum,dum,594.0
2022.0,p72,o-g-s,dum,dum,dum,239.0
2022.0,p77,CoalOldScr,dum,dum,dum,290.0
2022.0,p82,CoalOldUns,dum,dum,dum,555.0
2023.0,p101,o-g-s,dum,dum,dum,75.0
2023.0,p103,CoalOldScr,dum,dum,dum,515.0
2023.0,p105,CoalOldScr,dum,dum,dum,1625.0
2023.0,p107,CoalOldScr,dum,dum,dum,983.0
2023.0,p118,gas-CT,dum,dum,dum,80.0
2023.0,p127,gas-CT,dum,dum,dum,413.79999999999995
2023.0,p79,CoalOldScr,dum,dum,dum,398.0
2023.0,p99,CoalOldScr,dum,dum,dum,1006.0
2024.0,p101,CoalOldScr,dum,dum,dum,342.0
2024.0,p41,o-g-s,dum,dum,dum,241.6
2024.0,p59,o-g-s,dum,dum,dum,102.0
2024.0,p82,CoalOldScr,dum,dum,dum,188.0
2024.0,p92,CoalOldScr,dum,dum,dum,870.0
2024.0,p97,CoalOldScr,dum,dum,dum,582.0
2025.0,p25,CoalOldScr,dum,dum,dum,1800.0
2025.0,p54,o-g-s,dum,dum,dum,12.4
2025.0,p9,nuclear,dum,dum,dum,1122.0
2026.0,p111,nuclear,dum,dum,dum,1240.0
2026.0,p12,CoalOldScr,dum,dum,dum,268.0
2026.0,p12,CoalOldUns,dum,dum,dum,254.0
2026.0,p12,o-g-s,dum,dum,dum,113.0
2026.0,p2,coal-new,dum,dum,dum,670.0
2026.0,p34,CoalOldScr,dum,dum,dum,335.0
2026.0,p43,CoalOldScr,dum,dum,dum,680.0
2026.0,p51,CoalOldUns,dum,dum,dum,460.0
2026.0,p9,nuclear,dum,dum,dum,1118.0
2027.0,p24,CoalOldScr,dum,dum,dum,550.0
2027.0,p24,CoalOldUns,dum,dum,dum,210.0
2028.0,p107,CoalOldUns,dum,dum,dum,1300.0
2028.0,p43,CoalOldScr,dum,dum,dum,511.0
2028.0,p85,CoalOldUns,dum,dum,dum,1632.0
2029.0,p21,CoalOldScr,dum,dum,dum,357.0
2029.0,p21,o-g-s,dum,dum,dum,330.0
2029.0,p97,CoalOldScr,dum,dum,dum,516.0
2030.0,p106,gas-CT,dum,dum,dum,288.0
2030.0,p48,o-g-s,dum,dum,dum,244.0
2030.0,p85,CoalOldUns,dum,dum,dum,1678.0
2031.0,p48,o-g-s,dum,dum,dum,243.0
2034.0,p43,CoalOldScr,dum,dum,dum,876.0
2034.0,p48,o-g-s,dum,dum,dum,243.0
2037.0,p111,nuclear,dum,dum,dum,894.0
2037.0,p48,CoalOldUns,dum,dum,dum,1067.0
2049.0,p127,nuclear,dum,dum,dum,626.0
2050.0,p127,nuclear,dum,dum,dum,582.0
2050.0,p75,nuclear,dum,dum,dum,598.1
2050.0,p80,nuclear,dum,dum,dum,902.0
2051.0,p43,nuclear,dum,dum,dum,617.0
2051.0,p80,nuclear,dum,dum,dum,895.0
2051.0,p96,nuclear,dum,dum,dum,741.0
2052.0,p102,nuclear,dum,dum,dum,802.0
2052.0,p75,nuclear,dum,dum,dum,597.9
2052.0,p81,nuclear,dum,dum,dum,1819.0
2052.0,p99,nuclear,dum,dum,dum,838.0
2053.0,p102,nuclear,dum,dum,dum,802.0
2053.0,p95,nuclear,dum,dum,dum,847.0
2053.0,p99,nuclear,dum,dum,dum,838.0
2054.0,p122,nuclear,dum,dum,dum,2493.8
2054.0,p41,nuclear,dum,dum,dum,771.5
2054.0,p43,nuclear,dum,dum,dum,1040.0
2054.0,p85,nuclear,dum,dum,dum,833.3
2054.0,p89,nuclear,dum,dum,dum,1265.5
2054.0,p95,nuclear,dum,dum,dum,1707.0
2055.0,p104,nuclear,dum,dum,dum,1009.0
2055.0,p123,nuclear,dum,dum,dum,866.0
2055.0,p132,nuclear,dum,dum,dum,867.8
2055.0,p89,nuclear,dum,dum,dum,1268.4
2055.0,p94,nuclear,dum,dum,dum,876.0
2055.0,p98,nuclear,dum,dum,dum,932.0
2056.0,p102,nuclear,dum,dum,dum,981.0
2056.0,p115,nuclear,dum,dum,dum,907.0
2056.0,p127,nuclear,dum,dum,dum,852.9
2057.0,p123,nuclear,dum,dum,dum,841.8
2057.0,p126,nuclear,dum,dum,dum,1170.2
2057.0,p89,nuclear,dum,dum,dum,1269.6
2057.0,p90,nuclear,dum,dum,dum,874.0
2057.0,p98,nuclear,dum,dum,dum,938.0
2058.0,p104,nuclear,dum,dum,dum,1060.0
2058.0,p99,nuclear,dum,dum,dum,948.0
2059.0,p94,nuclear,dum,dum,dum,883.0
2060.0,p85,nuclear,dum,dum,dum,984.5
2060.0,p99,nuclear,dum,dum,dum,944.0
2061.0,p126,nuclear,dum,dum,dum,1158.0
2061.0,p90,nuclear,dum,dum,dum,883.0
2061.0,p92,nuclear,dum,dum,dum,1152.0
2061.0,p97,nuclear,dum,dum,dum,1158.0
2062.0,p92,nuclear,dum,dum,dum,1125.7
2063.0,p102,nuclear,dum,dum,dum,987.0
2063.0,p122,nuclear,dum,dum,dum,1247.0
2064.0,p2,nuclear,dum,dum,dum,1180.0
2064.0,p72,nuclear,dum,dum,dum,1190.0
2064.0,p80,nuclear,dum,dum,dum,2269.3
2064.0,p96,nuclear,dum,dum,dum,971.0
2064.0,p97,nuclear,dum,dum,dum,1157.6
2065.0,p122,nuclear,dum,dum,dum,1247.0
2065.0,p53,nuclear,dum,dum,dum,1175.0
2065.0,p58,nuclear,dum,dum,dum,1165.4
2065.0,p80,nuclear,dum,dum,dum,1164.0
2065.0,p87,nuclear,dum,dum,dum,1401.0
2065.0,p95,nuclear,dum,dum,dum,1160.1
2066.0,p122,nuclear,dum,dum,dum,1119.7
2066.0,p126,nuclear,dum,dum,dum,1190.0
2066.0,p132,nuclear,dum,dum,dum,1220.0
2066.0,p28,nuclear,dum,dum,dum,2625.0
2066.0,p58,nuclear,dum,dum,dum,967.5
2066.0,p95,nuclear,dum,dum,dum,1150.1
2067.0,p115,nuclear,dum,dum,dum,901.0
2067.0,p127,nuclear,dum,dum,dum,1287.0
2067.0,p80,nuclear,dum,dum,dum,1136.0
2067.0,p83,nuclear,dum,dum,dum,1065.0
2067.0,p94,nuclear,dum,dum,dum,1150.0
2067.0,p98,nuclear,dum,dum,dum,932.0
2068.0,p103,nuclear,dum,dum,dum,1141.0
2068.0,p28,nuclear,dum,dum,dum,1312.0
2068.0,p65,nuclear,dum,dum,dum,1280.0
2068.0,p80,nuclear,dum,dum,dum,2337.0
2069.0,p65,nuclear,dum,dum,dum,1280.0
2069.0,p94,nuclear,dum,dum,dum,1152.0
2070.0,p122,nuclear,dum,dum,dum,1122.1
2070.0,p130,nuclear,dum,dum,dum,1250.9
2070.0,p63,nuclear,dum,dum,dum,1205.0
2073.0,p63,nuclear,dum,dum,dum,1195.0
2076.0,p92,nuclear,dum,dum,dum,2245.0
2102.0,p94,nuclear,dum,dum,dum,1100.0
2103.0,p94,nuclear,dum,dum,dum,1100.0
9999.0,p1,biopower,dum,dum,dum,29.1
9999.0,p1,gas-CC,dum,dum,dum,796.9
9999.0,p1,gas-CT,dum,dum,dum,670.7
9999.0,p1,hydro,dum,dum,dum,3285.900000000001
9999.0,p1,lfill-gas,dum,dum,dum,9.899999999999999
9999.0,p1,other,dum,dum,dum,60.6
9999.0,p10,biopower,dum,dum,dum,149.5
9999.0,p10,gas-CC,dum,dum,dum,10165.600000000002
9999.0,p10,gas-CT,dum,dum,dum,5901.800000000005
9999.0,p10,hydro,dum,dum,dum,1235.8999999999996
9999.0,p10,lfill-gas,dum,dum,dum,244.6
9999.0,p10,o-g-s,dum,dum,dum,951.0999999999998
9999.0,p10,other,dum,dum,dum,132.0
9999.0,p10,pumped-hydro,dum,dum,dum,1626.6
9999.0,p100,gas-CC,dum,dum,dum,1472.2
9999.0,p100,gas-CT,dum,dum,dum,15.0
9999.0,p100,hydro,dum,dum,dum,2.4000000000000004
9999.0,p100,lfill-gas,dum,dum,dum,2.0
9999.0,p101,CoalOldScr,dum,dum,dum,4620.0
9999.0,p101,biopower,dum,dum,dum,280.20000000000005
9999.0,p101,coal-IGCC,dum,dum,dum,220.0
9999.0,p101,coal-new,dum,dum,dum,1042.0
9999.0,p101,gas-CC,dum,dum,dum,20416.099999999995
9999.0,p101,gas-CT,dum,dum,dum,6271.700000000001
9999.0,p101,hydro,dum,dum,dum,43.5
9999.0,p101,lfill-gas,dum,dum,dum,246.10000000000008
9999.0,p101,o-g-s,dum,dum,dum,1643.0
9999.0,p101,other,dum,dum,dum,342.1
9999.0,p102,biopower,dum,dum,dum,105.0
9999.0,p102,gas-CC,dum,dum,dum,10889.0
9999.0,p102,gas-CT,dum,dum,dum,2372.4999999999995
9999.0,p102,lfill-gas,dum,dum,dum,270.5
9999.0,p102,o-g-s,dum,dum,dum,22.0
9999.0,p103,CoalOldScr,dum,dum,dum,3962.0
9999.0,p103,CoalOldUns,dum,dum,dum,2031.0
9999.0,p103,biopower,dum,dum,dum,161.3
9999.0,p103,gas-CC,dum,dum,dum,4518.5
9999.0,p103,gas-CT,dum,dum,dum,4222.8
9999.0,p103,hydro,dum,dum,dum,145.10000000000036
9999.0,p103,lfill-gas,dum,dum,dum,142.09999999999994
9999.0,p103,o-g-s,dum,dum,dum,1942.0
9999.0,p103,other,dum,dum,dum,254.8
9999.0,p103,pumped-hydro,dum,dum,dum,2304.0
9999.0,p104,gas-CC,dum,dum,dum,1064.8000000000002
9999.0,p104,gas-CT,dum,dum,dum,71.8
9999.0,p104,hydro,dum,dum,dum,9.799999999999997
9999.0,p104,lfill-gas,dum,dum,dum,7.8
9999.0,p105,CoalOldScr,dum,dum,dum,1464.0
9999.0,p105,CoalOldUns,dum,dum,dum,30.2
9999.0,p105,gas-CC,dum,dum,dum,1818.01
9999.0,p105,gas-CT,dum,dum,dum,1377.1
9999.0,p105,hydro,dum,dum,dum,15.4
9999.0,p105,lfill-gas,dum,dum,dum,56.39999999999998
9999.0,p105,o-g-s,dum,dum,dum,14.0
