tech,coolingwatertech,pca,cap
gas-CT,dum,p98,2099.7
gas-CT,dum,p99,3880.999999999998
geothermal,dum,p10,840.0
geothermal,dum,p12,295.6
geothermal,dum,p16,10.0
geothermal,dum,p25,34.0
geothermal,dum,p8,2.2
geothermal,dum,p9,954.1
lfill-gas,dum,p1,5.399999999999999
lfill-gas,dum,p10,195.29999999999993
lfill-gas,dum,p101,223.7
lfill-gas,dum,p102,186.5
lfill-gas,dum,p103,168.89999999999992
lfill-gas,dum,p104,4.6
lfill-gas,dum,p105,32.000000000000014
lfill-gas,dum,p106,5.0
lfill-gas,dum,p107,5.6
lfill-gas,dum,p109,15.200000000000005
lfill-gas,dum,p11,19.0
lfill-gas,dum,p111,32.19999999999999
lfill-gas,dum,p112,4.800000000000001
lfill-gas,dum,p115,4.8
lfill-gas,dum,p120,14.400000000000013
lfill-gas,dum,p122,367.00000000000034
lfill-gas,dum,p123,129.9
lfill-gas,dum,p125,7.0
lfill-gas,dum,p126,207.40000000000012
lfill-gas,dum,p127,227.50000000000037
lfill-gas,dum,p128,121.7
lfill-gas,dum,p129,1.6
lfill-gas,dum,p130,29.6
lfill-gas,dum,p131,254.00000000000003
lfill-gas,dum,p132,165.10000000000002
lfill-gas,dum,p133,6.0
lfill-gas,dum,p134,41.4
lfill-gas,dum,p15,3.0
lfill-gas,dum,p2,10.5
lfill-gas,dum,p25,9.799999999999999
lfill-gas,dum,p3,22.8
lfill-gas,dum,p31,3.4
lfill-gas,dum,p33,3.2
lfill-gas,dum,p41,6.3999999999999995
lfill-gas,dum,p43,101.79999999999997
lfill-gas,dum,p45,4.8
lfill-gas,dum,p46,7.3999999999999995
lfill-gas,dum,p5,31.400000000000013
lfill-gas,dum,p55,3.0
lfill-gas,dum,p6,3.0
lfill-gas,dum,p63,20.200000000000003
lfill-gas,dum,p64,10.000000000000002
lfill-gas,dum,p65,18.0
lfill-gas,dum,p66,3.4
lfill-gas,dum,p67,16.999999999999996
lfill-gas,dum,p68,18.0
lfill-gas,dum,p70,6.3999999999999995
lfill-gas,dum,p72,4.7
lfill-gas,dum,p75,6.3999999999999995
lfill-gas,dum,p76,10.9
lfill-gas,dum,p78,7.0
lfill-gas,dum,p79,33.00000000000001
lfill-gas,dum,p80,59.79999999999997
lfill-gas,dum,p81,2.4000000000000004
lfill-gas,dum,p82,2.4000000000000004
lfill-gas,dum,p83,6.4
lfill-gas,dum,p85,4.8
lfill-gas,dum,p9,78.49999999999997
lfill-gas,dum,p91,14.800000000000004
lfill-gas,dum,p92,3.2
lfill-gas,dum,p94,13.600000000000001
lfill-gas,dum,p95,6.0
lfill-gas,dum,p96,19.100000000000005
lfill-gas,dum,p97,13.7
lfill-gas,dum,p98,3.599999999999999
lfill-gas,dum,p99,273.000000000003
nuclear,dum,p102,3572.0
nuclear,dum,p103,1141.0
nuclear,dum,p104,2852.5
nuclear,dum,p111,2134.0
nuclear,dum,p115,1808.0
nuclear,dum,p122,7229.6
nuclear,dum,p123,1707.8
nuclear,dum,p126,3518.2
nuclear,dum,p127,5399.4
nuclear,dum,p130,1250.9
nuclear,dum,p132,2087.8
nuclear,dum,p2,1180.0
nuclear,dum,p28,3937.0
nuclear,dum,p41,771.5
nuclear,dum,p43,1657.0
nuclear,dum,p53,1175.0
nuclear,dum,p58,2132.9
nuclear,dum,p63,2400.0
nuclear,dum,p65,2560.0
nuclear,dum,p70,601.4
nuclear,dum,p72,1190.0
nuclear,dum,p75,1196.0
nuclear,dum,p80,8703.3
nuclear,dum,p81,1819.0
nuclear,dum,p83,1065.0
nuclear,dum,p85,1817.8
nuclear,dum,p87,1401.0
nuclear,dum,p89,3803.5
nuclear,dum,p9,2240.0
