Commercial.Online.Year,pca,tech,coolingwatertech,cap
2010,p92,coal-new,none,1398.0
2010,p92,gas-CC,none,525.0
2010,p93,gas-CT,none,110.0
2010,p94,biopower,none,18.0
2010,p94,coal-new,none,724.0
2010,p96,coal-new,none,1289.0
2010,p96,gas-CT,none,20.0
2010,p96,lfill-gas,none,4.0
2010,p97,coal-new,none,544.0
2010,p97,gas-CT,none,24.0
2010,p97,lfill-gas,none,1.6
2010,p98,lfill-gas,none,6.6
2010,p99,lfill-gas,none,12.000000000000007
2011,p1,hydro,none,7.9
2011,p10,gas-CT,none,293.10000000000053
2011,p101,gas-CC,none,290.0
2011,p101,gas-CT,none,296.0
2011,p101,lfill-gas,none,6.800000000000001
2011,p102,gas-CC,none,1231.0
2011,p103,lfill-gas,none,6.4
2011,p109,coal-new,none,732.0
2011,p11,lfill-gas,none,2.4
2011,p11,o-g-s,none,2.8
2011,p111,lfill-gas,none,6.8
2011,p112,coal-new,none,576.0
2011,p112,lfill-gas,none,5.6
2011,p116,coal-new,none,700.0
2011,p117,coal-new,none,800.0
2011,p119,gas-CT,none,6.9
2011,p12,geothermal,none,2.9
2011,p122,gas-CC,none,643.2
2011,p122,hydro,none,2.4
2011,p122,lfill-gas,none,7.5
2011,p126,lfill-gas,none,12.1
2011,p127,gas-CC,none,540.0
2011,p127,gas-CT,none,28.9
2011,p127,lfill-gas,none,4.800000000000001
2011,p127,o-g-s,none,10.2
2011,p13,gas-CC,none,510.0
2011,p130,coal-new,none,438.0
2011,p131,gas-CT,none,9.2
2011,p131,lfill-gas,none,3.3
2011,p132,gas-CC,none,622.0
2011,p132,gas-CT,none,208.20000000000002
2011,p134,hydro,none,1.4
2011,p17,gas-CT,none,132.3
2011,p18,hydro,none,13.0
2011,p2,lfill-gas,none,26.0
2011,p21,coal-new,none,201.0
2011,p23,coal-new,none,380.0
2011,p28,gas-CT,none,520.7999999999998
2011,p31,hydro,none,3.0
2011,p33,lfill-gas,none,3.1
2011,p36,coal-new,none,237.0
2011,p4,hydro,none,122.0
2011,p40,coal-new,none,232.0
2011,p42,gas-CT,none,10.0
2011,p43,gas-CT,none,10.5
2011,p43,hydro,none,9.599999999999998
2011,p43,lfill-gas,none,1.5
2011,p48,gas-CT,none,331.8000000000001
2011,p5,biopower,none,19.8
2011,p51,gas-CC,none,455.0
2011,p51,lfill-gas,none,1.4
2011,p53,gas-CT,none,1.9
2011,p54,lfill-gas,none,1.6
2011,p55,coal-new,none,275.0
2011,p58,gas-CT,none,63.0
2011,p59,gas-CC,none,141.9
2011,p6,lfill-gas,none,1.6
2011,p63,biopower,none,50.0
2011,p63,gas-CC,none,620.5
2011,p63,lfill-gas,none,7.4
2011,p64,coal-new,none,1180.0
2011,p64,gas-CC,none,43.4
2011,p65,gas-CT,none,1.4
2011,p70,gas-CT,none,17.799999999999997
2011,p72,gas-CT,none,5.6
2011,p76,gas-CT,none,53.3
2011,p78,gas-CT,none,2.0
2011,p78,lfill-gas,none,1.6
2011,p79,coal-new,none,634.0
2011,p80,gas-CT,none,23.299999999999997
2011,p80,lfill-gas,none,9.6
2011,p81,coal-new,none,1388.0
2011,p87,coal-new,none,360.0
2011,p89,biopower,none,8.2
2011,p89,coal-new,none,685.0
2011,p89,lfill-gas,none,0.8
2011,p9,gas-CC,none,41.0
2011,p9,gas-CT,none,112.70000000000003
2011,p9,o-g-s,none,6.0
2011,p92,lfill-gas,none,2.5
2011,p94,coal-new,none,857.0
2011,p94,gas-CC,none,821.0
2011,p94,lfill-gas,none,6.800000000000001
2011,p95,gas-CT,none,7.2
2011,p95,lfill-gas,none,1.6
2011,p96,lfill-gas,none,3.0
2011,p97,gas-CC,none,668.0
2011,p97,hydro,none,1.5
2011,p97,lfill-gas,none,2.4000000000000004
2011,p98,gas-CC,none,597.0
2011,p98,lfill-gas,none,9.799999999999999
2011,p99,coal-new,none,596.0
2011,p99,gas-CC,none,589.0
2011,p99,lfill-gas,none,2.9
2012,p10,gas-CC,none,142.0
2012,p10,gas-CT,none,67.4
2012,p10,geothermal,none,49.9
2012,p10,lfill-gas,none,38.20000000000002
2012,p10,o-g-s,none,5.0
2012,p101,gas-CT,none,2.5
2012,p103,lfill-gas,none,22.2
2012,p105,lfill-gas,none,4.300000000000001
2012,p11,o-g-s,none,2.4
2012,p111,gas-CC,none,671.9000000000001
2012,p111,lfill-gas,none,19.2
2012,p112,coal-new,none,1016.0
2012,p112,gas-CC,none,540.0
2012,p118,coal-new,none,610.0
2012,p118,lfill-gas,none,1.0
2012,p12,geothermal,none,56.3
2012,p12,lfill-gas,none,3.2
2012,p122,lfill-gas,none,15.4
2012,p123,lfill-gas,none,4.0
2012,p125,coal-new,none,410.0
2012,p125,gas-CT,none,50.0
2012,p125,o-g-s,none,8.8
2012,p126,gas-CT,none,816.9
2012,p127,gas-CT,none,7.6
2012,p127,hydro,none,4.0
2012,p127,lfill-gas,none,6.4
2012,p13,lfill-gas,none,6.6
2012,p132,gas-CC,none,13.0
2012,p132,gas-CT,none,129.9
2012,p132,o-g-s,none,1.4
2012,p133,gas-CT,none,1.8
2012,p14,lfill-gas,none,3.2
2012,p15,gas-CC,none,299.7
2012,p21,coal-new,none,156.0
2012,p24,coal-new,none,330.0
2012,p25,gas-CT,none,23.0
2012,p28,lfill-gas,none,3.2
2012,p33,hydro,none,3.1
2012,p34,gas-CC,none,188.0
2012,p34,gas-CT,none,180.0
2012,p36,gas-CT,none,4.0
2012,p38,gas-CC,none,290.0
2012,p4,hydro,none,244.0
