Commercial.Online.Year,pca,tech,coolingwatertech,ctt,wst,cap
2011,p18,hydro,hydro,n,ww,13.0
2011,p2,lfill-gas,lfill-gas_r_ww,r,ww,26.0
2011,p21,coal-new,coal-new_r_ww,r,ww,201.0
2011,p23,coal-new,CoalOldScr_r_ww,r,ww,380.0
2011,p28,gas-CT,gas-CT,n,ww,520.7999999999998
2011,p29,coal-new,coal-new_r_ww,r,ww,382.0
2011,p31,battery_4,battery_4,n,fsu,0.8
2011,p31,hydro,hydro,n,ww,3.0
2011,p33,lfill-gas,lfill-gas_r_ww,r,ww,3.1
2011,p36,coal-new,coal-new_r_ww,r,ww,237.0
2011,p4,hydro,hydro,n,ww,122.0
2011,p40,coal-new,CoalOldScr_r_ww,r,ww,232.0
2011,p42,gas-CT,gas-CT,n,ww,10.0
2011,p43,gas-CT,gas-CT,n,ww,10.5
2011,p43,hydro,hydro,n,ww,9.599999999999998
2011,p43,lfill-gas,lfill-gas_r_ww,r,ww,1.5
2011,p48,gas-CT,gas-CT,n,ww,329.8000000000001
2011,p5,biopower,biopower_r_fg,r,fg,19.8
2011,p51,gas-CC,gas-CC_r_ww,r,ww,444.0
2011,p51,lfill-gas,lfill-gas_r_ww,r,ww,1.4
2011,p53,gas-CT,gas-CT,n,ww,1.9
2011,p54,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2011,p55,coal-new,CoalOldScr_r_ww,r,ww,275.0
2011,p58,gas-CT,gas-CT,n,ww,62.8
2011,p59,gas-CC,gas-CC_r_ww,r,ww,138.0
2011,p6,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2011,p63,gas-CC,gas-CC_r_ww,r,ww,620.5
2011,p63,lfill-gas,lfill-gas_r_ww,r,ww,7.4
2011,p64,coal-new,coal-new_r_ww,r,ww,1180.0
2011,p64,gas-CC,gas-CC_r_ww,r,ww,43.4
2011,p65,gas-CT,gas-CT,n,ww,1.4
2011,p70,gas-CT,gas-CT,n,ww,17.799999999999997
2011,p72,gas-CT,gas-CT,n,ww,5.6
2011,p76,gas-CT,gas-CT,n,ww,53.3
2011,p78,gas-CT,gas-CT,n,ww,2.0
2011,p78,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2011,p79,coal-new,coal-new_r_ww,r,ww,633.0
2011,p80,gas-CT,gas-CT,n,ww,23.299999999999997
2011,p80,lfill-gas,lfill-gas_r_ww,r,ww,9.6
2011,p81,coal-new,CoalOldScr_r_ww,r,ww,576.0
2011,p81,coal-new,coal-new_r_ww,r,ww,815.0
2011,p89,biopower,biopower_r_fg,r,fg,8.2
2011,p89,coal-new,coal-new_r_ww,r,ww,688.0
2011,p89,lfill-gas,lfill-gas_r_ww,r,ww,0.8
2011,p9,gas-CC,gas-CC_r_ww,r,ww,41.0
2011,p9,gas-CT,gas-CT,n,ww,112.70000000000003
2011,p9,o-g-s,o-g-s_r_ww,r,ww,6.0
2011,p92,lfill-gas,lfill-gas_r_ww,r,ww,2.5
2011,p94,coal-new,coal-new_r_ww,r,ww,860.0
2011,p94,gas-CC,gas-CC_r_ww,r,ww,821.0
2011,p94,lfill-gas,lfill-gas_r_ww,r,ww,6.800000000000001
2011,p95,gas-CT,gas-CT,n,ww,7.2
2011,p95,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2011,p96,lfill-gas,lfill-gas_r_ww,r,ww,3.0
2011,p97,gas-CC,gas-CC_r_ww,r,ww,668.0
2011,p97,hydro,hydro,n,ww,1.5
2011,p97,lfill-gas,lfill-gas_r_ww,r,ww,6.6
2011,p98,gas-CC,gas-CC_r_ww,r,ww,597.0
2011,p98,lfill-gas,lfill-gas_r_ww,r,ww,9.799999999999999
2011,p99,coal-new,coal-new_r_ww,r,ww,336.0
2011,p99,gas-CC,gas-CC_r_ww,r,ww,622.0
2011,p99,lfill-gas,lfill-gas_r_ww,r,ww,2.9
2012,p10,battery_4,battery_4,n,fsu,1.0
2012,p10,gas-CC,gas-CC_r_ww,r,ww,142.0
2012,p10,gas-CT,gas-CT,n,ww,67.4
2012,p10,geothermal,geothermal,n,fsa,49.9
2012,p10,lfill-gas,lfill-gas_r_ww,r,ww,38.20000000000002
2012,p10,o-g-s,o-g-s_r_ww,r,ww,5.0
2012,p101,gas-CT,gas-CT,n,ww,2.5
2012,p103,lfill-gas,lfill-gas_r_ww,r,ww,22.2
2012,p105,lfill-gas,lfill-gas_r_ww,r,ww,4.300000000000001
2012,p11,battery_4,battery_4,n,fsu,1.0
2012,p11,o-g-s,o-g-s_r_ww,r,ww,2.4
2012,p111,gas-CC,gas-CC_r_ww,r,ww,670.3000000000001
2012,p111,lfill-gas,lfill-gas_r_ww,r,ww,19.2
2012,p112,coal-new,coal-new_r_ww,r,ww,1006.0
2012,p112,gas-CC,gas-CC_r_ww,r,ww,540.0
2012,p118,coal-new,CoalOldScr_r_ww,r,ww,610.0
2012,p118,lfill-gas,lfill-gas_r_ww,r,ww,1.0
2012,p12,geothermal,geothermal,n,fsa,64.5
2012,p12,lfill-gas,lfill-gas_r_ww,r,ww,3.2
2012,p122,lfill-gas,lfill-gas_r_ww,r,ww,15.4
