RetireYear,pca,tech,coolingwatertech,ctt,wst,cap
2020,p50,gas-CT,gas-CT,n,ww,64.0
2020,p51,o-g-s,o-g-s_r_ww,r,ww,40.0
2020,p53,gas-CT,gas-CT,n,ww,8.5
2020,p55,gas-CT,gas-CT,n,ww,1.0
2020,p57,o-g-s,o-g-s_r_ww,r,ww,106.0
2020,p58,o-g-s,o-g-s_r_ww,r,ww,425.0
2020,p60,CoalOldScr,CoalOldScr_r_ww,r,ww,650.0
2020,p64,o-g-s,o-g-s_r_ww,r,ww,320.0
2020,p66,gas-CC,gas-CC_r_ww,r,ww,86.5
2020,p70,gas-CT,gas-CT,n,ww,1.1
2020,p79,gas-CT,gas-CT,n,ww,1.1
2020,p81,CoalOldScr,CoalOldScr_r_ww,r,ww,170.0
2020,p81,gas-CT,gas-CT,n,ww,7.5
2020,p82,coal-new,coal-new_r_ww,r,ww,138.0
2020,p86,gas-CT,gas-CT,n,ww,135.0
2020,p9,biopower,biopower_r_fg,r,fg,12.0
2020,p9,gas-CT,gas-CT,n,ww,6.0
2020,p9,lfill-gas,lfill-gas_r_ww,r,ww,2.7
2020,p9,o-g-s,o-g-s_r_ww,r,ww,1.4
2020,p96,gas-CT,gas-CT,n,ww,379.0
2020,p99,gas-CT,gas-CT,n,ww,1.2
2020,p99,o-g-s,o-g-s_r_ww,r,ww,786.0
2021,p10,hydro,hydro,n,ww,2.4
2021,p101,CoalOldScr,CoalOldScr_r_ww,r,ww,342.0
2021,p101,gas-CC,gas-CC_r_ww,r,ww,37.0
2021,p107,coal-new,coal-new_r_ww,r,ww,222.0
2021,p114,o-g-s,o-g-s_r_ww,r,ww,111.0
2021,p12,CoalOldUns,CoalOldUns_r_ww,r,ww,254.0
2021,p122,gas-CT,gas-CT,n,ww,27.0
2021,p123,coal-new,coal-new_r_ww,r,ww,667.0
2021,p125,o-g-s,o-g-s_r_ww,r,ww,103.0
2021,p126,gas-CC,gas-CC_r_ww,r,ww,70.0
2021,p127,gas-CT,gas-CT,n,ww,214.39999999999998
2021,p128,gas-CT,gas-CT,n,ww,4.5
2021,p129,hydro,hydro,n,ww,2.9
2021,p131,gas-CT,gas-CT,n,ww,0.8999999999999999
2021,p132,gas-CC,gas-CC_r_ww,r,ww,51.5
2021,p133,gas-CC,gas-CC_r_ww,r,ww,60.0
2021,p134,hydro,hydro,n,ww,4.0
2021,p134,lfill-gas,lfill-gas_r_ww,r,ww,1.8
2021,p25,gas-CT,gas-CT,n,ww,1.7999999999999998
2021,p34,gas-CT,gas-CT,n,ww,1.5
2021,p43,CoalOldUns,CoalOldUns_r_ww,r,ww,155.0
2021,p43,gas-CT,gas-CT,n,ww,4.6
2021,p63,gas-CT,gas-CT,n,ww,4.0
2021,p63,lfill-gas,lfill-gas_r_ww,r,ww,6.4
2021,p63,o-g-s,o-g-s_r_ww,r,ww,235.0
2021,p65,gas-CT,gas-CT,n,ww,91.0
2021,p69,gas-CT,gas-CT,n,ww,1.8
2021,p70,gas-CT,gas-CT,n,ww,3.1
2021,p70,o-g-s,o-g-s_r_ww,r,ww,107.0
2021,p77,coal-new,CoalOldScr_r_ww,r,ww,308.0
2021,p80,nuclear,nuclear_r_ww,r,ww,4097.0
2021,p81,gas-CC,gas-CC_r_ww,r,ww,247.0
2021,p9,gas-CT,gas-CT,n,ww,55.0
2021,p9,hydro,hydro,n,ww,0.5
2021,p90,gas-CT,gas-CT,n,ww,3.0
2021,p97,coal-new,coal-new_r_ww,r,ww,258.0
2021,p98,biopower,biopower_r_fg,r,fg,143.1
2021,p99,coal-new,CoalOldScr_r_ww,r,ww,240.0
2021,p99,lfill-gas,lfill-gas_r_ww,r,ww,2.8
2022,p116,CoalOldScr,CoalOldScr_r_ww,r,ww,1288.0
2022,p12,CoalOldScr,CoalOldScr_r_ww,r,ww,268.0
2022,p122,gas-CC,gas-CC_r_ww,r,ww,46.0
2022,p122,gas-CT,gas-CT,n,ww,18.0
2022,p131,gas-CT,gas-CT,n,ww,9.1
2022,p131,o-g-s,o-g-s_r_ww,r,ww,574.0
2022,p31,coal-new,coal-new_r_ww,r,ww,847.0
2022,p37,CoalOldScr,CoalOldScr_r_ww,r,ww,1147.0
2022,p58,CoalOldScr,CoalOldScr_r_ww,r,ww,642.0
2022,p81,CoalOldUns,CoalOldUns_r_ww,r,ww,949.0
2022,p81,gas-CT,gas-CT,n,ww,239.0
2022,p82,CoalOldUns,CoalOldUns_r_ww,r,ww,560.0
2022,p97,coal-new,coal-new_r_ww,r,ww,419.0
2023,p101,CoalOldScr,CoalOldScr_r_ww,r,ww,652.0
2023,p105,CoalOldScr,CoalOldScr_r_ww,r,ww,722.0
2023,p107,CoalOldScr,CoalOldScr_r_ww,r,ww,988.0
2023,p107,coal-new,coal-new_r_ww,r,ww,422.0
2023,p118,gas-CT,gas-CT,n,ww,80.0
2023,p127,gas-CT,gas-CT,n,ww,422.7
2023,p33,hydro,hydro,n,ww,1.8
2023,p57,CoalOldScr,CoalOldScr_r_ww,r,ww,721.0
2023,p99,coal-new,coal-new_r_ww,r,ww,670.0
2023,p99,o-g-s,o-g-s_r_ww,r,ww,790.0
2024,p10,o-g-s,o-g-s_r_ww,r,ww,1491.0
2024,p129,lfill-gas,lfill-gas_r_ww,r,ww,7.5
2024,p131,gas-CT,gas-CT,n,ww,3.8
2024,p132,gas-CT,gas-CT,n,ww,17.0
2024,p31,o-g-s,o-g-s_r_ww,r,ww,46.0
2024,p54,o-g-s,o-g-s_r_ww,r,ww,12.4
2024,p82,CoalOldScr,CoalOldScr_r_ww,r,ww,188.0
2024,p9,gas-CT,gas-CT,n,ww,54.0
2024,p9,nuclear,nuclear_r_ww,r,ww,1122.0
2024,p92,coal-new,coal-new_r_ww,r,ww,870.0
2024,p97,coal-new,coal-new_r_ww,r,ww,421.0
2026,p111,nuclear,nuclear_r_ww,r,ww,1240.0
2026,p12,o-g-s,o-g-s_r_ww,r,ww,113.0
2026,p2,CoalOldScr,CoalOldScr_r_ww,r,ww,670.0
2026,p33,CoalOldScr,CoalOldScr_r_ww,r,ww,427.0
2026,p34,coal-new,CoalOldScr_r_ww,r,ww,335.0
2026,p43,CoalOldScr,CoalOldScr_r_ww,r,ww,680.0
2026,p51,CoalOldUns,CoalOldUns_r_ww,r,ww,313.0
2026,p9,nuclear,nuclear_r_ww,r,ww,1118.0
2027,p24,CoalOldUns,CoalOldUns_r_ww,r,ww,210.0
2027,p24,coal-new,CoalOldScr_r_ww,r,ww,220.0
2027,p25,CoalOldScr,CoalOldScr_r_ww,r,ww,1800.0
2027,p85,o-g-s,o-g-s_r_ww,r,ww,522.0
2028,p43,coal-new,CoalOldScr_r_ww,r,ww,511.0
2029,p107,CoalOldUns,CoalOldUns_r_ww,r,ww,1300.0
2029,p21,CoalOldUns,CoalOldUns_r_ww,r,ww,330.0
2030,p106,gas-CT,gas-CT,n,ww,288.0
2031,p48,o-g-s,o-g-s_r_ww,r,ww,487.0
2034,p43,CoalOldScr,CoalOldScr_r_ww,r,ww,876.0
2034,p48,o-g-s,o-g-s_r_ww,r,ww,243.0
2037,p111,nuclear,nuclear_r_ww,r,ww,894.0
2037,p48,CoalOldUns,CoalOldUns_r_ww,r,ww,1067.0
2049,p127,nuclear,nuclear_r_ww,r,ww,624.9
2050,p127,nuclear,nuclear_r_ww,r,ww,582.0
2050,p75,nuclear,nuclear_r_ww,r,ww,595.9
2051,p43,nuclear,nuclear_r_ww,r,ww,617.0
2051,p96,nuclear,nuclear_r_ww,r,ww,741.0
2052,p102,nuclear,nuclear_r_ww,r,ww,837.0
2052,p75,nuclear,nuclear_r_ww,r,ww,599.9
2052,p81,nuclear,nuclear_r_ww,r,ww,1819.0
2052,p99,nuclear,nuclear_r_ww,r,ww,838.0
2053,p102,nuclear,nuclear_r_ww,r,ww,821.0
2053,p95,nuclear,nuclear_r_ww,r,ww,847.0
2053,p99,nuclear,nuclear_r_ww,r,ww,838.0
2054,p122,nuclear,nuclear_r_ww,r,ww,2450.4
2054,p41,nuclear,nuclear_r_ww,r,ww,770.0
