tech,coolingwatertech,pca,ctt,wst,cap
coal-new,CoalOldScr_r_ww,p33,r,ww,441.0
coal-new,CoalOldScr_r_ww,p34,r,ww,335.0
coal-new,CoalOldScr_r_ww,p40,r,ww,60.0
coal-new,CoalOldScr_r_ww,p41,r,ww,691.0
coal-new,CoalOldScr_r_ww,p43,r,ww,511.0
coal-new,CoalOldScr_r_ww,p45,r,ww,1522.0
coal-new,CoalOldScr_r_ww,p54,r,ww,564.0
coal-new,CoalOldScr_r_ww,p70,r,ww,878.0
coal-new,CoalOldScr_r_ww,p75,r,ww,608.0
coal-new,CoalOldScr_r_ww,p80,r,ww,10.6
coal-new,CoalOldScr_r_ww,p81,r,ww,120.0
coal-new,CoalOldScr_r_ww,p88,r,ww,440.0
coal-new,CoalOldScr_r_ww,p96,r,ww,415.0
coal-new,CoalOldScr_r_ww,p99,r,ww,240.0
coal-new,CoalOldUns_r_ww,p105,r,ww,2.6
coal-new,CoalOldUns_r_ww,p126,r,ww,11.6
coal-new,CoalOldUns_r_ww,p23,r,ww,80.0
coal-new,CoalOldUns_r_ww,p43,r,ww,7.6
coal-new,CoalOldUns_r_ww,p54,r,ww,564.0
coal-new,CoalOldUns_r_ww,p70,r,ww,32.0
coal-new,CoalOldUns_r_ww,p75,r,ww,58.0
coal-new,CoalOldUns_r_ww,p80,r,ww,21.2
coal-new,coal-new_r_ww,p101,r,ww,1571.0
coal-new,coal-new_r_ww,p103,r,ww,1535.0
coal-new,coal-new_r_ww,p105,r,ww,995.0
coal-new,coal-new_r_ww,p107,r,ww,4260.0
coal-new,coal-new_r_ww,p109,r,ww,2729.0
coal-new,coal-new_r_ww,p112,r,ww,1170.0
coal-new,coal-new_r_ww,p114,r,ww,1020.0
coal-new,coal-new_r_ww,p115,r,ww,1700.0
coal-new,coal-new_r_ww,p116,r,ww,3767.0
coal-new,coal-new_r_ww,p117,r,ww,2599.0
coal-new,coal-new_r_ww,p122,r,ww,3317.0
coal-new,coal-new_r_ww,p123,r,ww,3026.0
coal-new,coal-new_r_ww,p127,r,ww,294.0
coal-new,coal-new_r_ww,p25,r,ww,450.0
coal-new,coal-new_r_ww,p28,r,ww,651.0
coal-new,coal-new_r_ww,p31,r,ww,847.0
coal-new,coal-new_r_ww,p43,r,ww,364.0
coal-new,coal-new_r_ww,p53,r,ww,2189.0
coal-new,coal-new_r_ww,p54,r,ww,700.0
coal-new,coal-new_r_ww,p63,r,ww,855.0
coal-new,coal-new_r_ww,p82,r,ww,346.0
coal-new,coal-new_r_ww,p89,r,ww,687.0
coal-new,coal-new_r_ww,p91,r,ww,924.0
coal-new,coal-new_r_ww,p92,r,ww,3340.0
coal-new,coal-new_r_ww,p94,r,ww,4252.0
coal-new,coal-new_r_ww,p96,r,ww,2340.0
coal-new,coal-new_r_ww,p97,r,ww,5376.0
coal-new,coal-new_r_ww,p98,r,ww,3167.0
coal-new,coal-new_r_ww,p99,r,ww,1547.0
gas-CC,gas-CC_r_ww,p1,r,ww,800.9
gas-CC,gas-CC_r_ww,p10,r,ww,7865.500000000001
gas-CC,gas-CC_r_ww,p101,r,ww,15305.699999999999
gas-CC,gas-CC_r_ww,p102,r,ww,6329.0
gas-CC,gas-CC_r_ww,p103,r,ww,3146.8
gas-CC,gas-CC_r_ww,p104,r,ww,1064.8000000000002
gas-CC,gas-CC_r_ww,p105,r,ww,1062.0
gas-CC,gas-CC_r_ww,p106,r,ww,264.0
gas-CC,gas-CC_r_ww,p107,r,ww,1173.0
gas-CC,gas-CC_r_ww,p11,r,ww,1212.4
gas-CC,gas-CC_r_ww,p111,r,ww,23.4
gas-CC,gas-CC_r_ww,p112,r,ww,2892.0
gas-CC,gas-CC_r_ww,p114,r,ww,46.5
gas-CC,gas-CC_r_ww,p115,r,ww,1415.0
gas-CC,gas-CC_r_ww,p12,r,ww,657.0
gas-CC,gas-CC_r_ww,p122,r,ww,6672.999999999999
gas-CC,gas-CC_r_ww,p123,r,ww,230.0
gas-CC,gas-CC_r_ww,p125,r,ww,1195.0
gas-CC,gas-CC_r_ww,p126,r,ww,5819.500000000003
gas-CC,gas-CC_r_ww,p127,r,ww,6382.300000000001
gas-CC,gas-CC_r_ww,p128,r,ww,720.3
gas-CC,gas-CC_r_ww,p13,r,ww,4099.4
gas-CC,gas-CC_r_ww,p130,r,ww,1258.0
gas-CC,gas-CC_r_ww,p131,r,ww,5583.8
gas-CC,gas-CC_r_ww,p132,r,ww,1990.8
gas-CC,gas-CC_r_ww,p133,r,ww,1790.2000000000003
gas-CC,gas-CC_r_ww,p134,r,ww,1288.3
gas-CC,gas-CC_r_ww,p14,r,ww,248.0
gas-CC,gas-CC_r_ww,p2,r,ww,1834.7
gas-CC,gas-CC_r_ww,p25,r,ww,1201.0
gas-CC,gas-CC_r_ww,p27,r,ww,1120.0
gas-CC,gas-CC_r_ww,p28,r,ww,8737.1
gas-CC,gas-CC_r_ww,p30,r,ww,8.3
gas-CC,gas-CC_r_ww,p31,r,ww,852.6
gas-CC,gas-CC_r_ww,p33,r,ww,2025.6
