tech,pca,coolingwatertech,cap
nuclear,p75,none,1196.0
nuclear,p80,none,8703.3
nuclear,p81,none,1819.0
nuclear,p83,none,1065.0
nuclear,p85,none,1817.8
nuclear,p87,none,1401.0
nuclear,p89,none,3803.5
nuclear,p9,none,2240.0
nuclear,p90,none,1757.0
nuclear,p92,none,3400.7
nuclear,p94,none,4061.0
nuclear,p95,none,4864.2
nuclear,p96,none,1712.0
nuclear,p97,none,2315.6
nuclear,p98,none,2802.0
nuclear,p99,none,3568.0
o-g-s,p10,none,3079.3999999999996
o-g-s,p101,none,3342.0
o-g-s,p102,none,2462.0
o-g-s,p103,none,1942.0
o-g-s,p105,none,14.0
o-g-s,p106,none,634.2
o-g-s,p108,none,65.0
o-g-s,p110,none,260.0
o-g-s,p114,none,111.0
o-g-s,p118,none,460.0
o-g-s,p12,none,334.0
o-g-s,p122,none,4520.9
o-g-s,p123,none,1939.0
o-g-s,p125,none,813.0
o-g-s,p126,none,150.0
o-g-s,p127,none,9052.16
o-g-s,p128,none,2347.0
o-g-s,p130,none,400.0
o-g-s,p131,none,1830.6
o-g-s,p132,none,1687.2
o-g-s,p133,none,4.0
o-g-s,p134,none,905.3
o-g-s,p14,none,22.5
o-g-s,p21,none,330.0
o-g-s,p25,none,237.0
o-g-s,p28,none,949.0
o-g-s,p30,none,422.0
o-g-s,p31,none,390.0
o-g-s,p33,none,392.0
o-g-s,p34,none,55.0
o-g-s,p40,none,246.3
o-g-s,p41,none,241.6
o-g-s,p43,none,100.6
o-g-s,p45,none,38.0
o-g-s,p46,none,23.0
o-g-s,p47,none,295.0
o-g-s,p48,none,1314.0
o-g-s,p50,none,3004.0
o-g-s,p51,none,3170.0
o-g-s,p52,none,96.0
o-g-s,p53,none,1274.5
o-g-s,p54,none,320.1
o-g-s,p55,none,571.0
o-g-s,p57,none,1404.0
o-g-s,p58,none,6508.08
o-g-s,p59,none,252.0
o-g-s,p63,none,5411.0
o-g-s,p64,none,1443.1
o-g-s,p65,none,2091.0
o-g-s,p66,none,3729.2999999999993
o-g-s,p67,none,2356.0
o-g-s,p68,none,18.0
o-g-s,p69,none,37.0
o-g-s,p70,none,352.4
o-g-s,p72,none,261.0
o-g-s,p75,none,80.0
o-g-s,p76,none,0.7
o-g-s,p78,none,102.0
o-g-s,p79,none,240.0
o-g-s,p80,none,1409.7999999999997
o-g-s,p85,none,776.0
o-g-s,p87,none,3100.9999999999995
o-g-s,p88,none,18.6
o-g-s,p89,none,1528.0
o-g-s,p90,none,130.0
o-g-s,p91,none,16.2
o-g-s,p94,none,714.0
o-g-s,p95,none,170.0
o-g-s,p96,none,350.6
o-g-s,p99,none,2187.1
