Commercial.Online.Year,pca,tech,coolingwatertech,cap
2011,p103,lfill-gas,dum,6.4
2011,p105,other,dum,4.699999999999999
2011,p109,coal-new,dum,732.0
2011,p11,lfill-gas,dum,2.4
2011,p11,o-g-s,dum,2.8
2011,p111,lfill-gas,dum,6.8
2011,p112,lfill-gas,dum,5.6
2011,p114,other,dum,47.0
2011,p116,coal-new,dum,700.0
2011,p119,gas-CT,dum,6.9
2011,p12,geothermal,dum,2.9
2011,p122,gas-CC,dum,643.2
2011,p122,hydro,dum,2.4
2011,p122,lfill-gas,dum,7.5
2011,p126,lfill-gas,dum,12.1
2011,p127,gas-CC,dum,540.0
2011,p127,gas-CT,dum,28.9
2011,p127,lfill-gas,dum,4.800000000000001
2011,p127,o-g-s,dum,10.2
2011,p127,other,dum,1.2
2011,p13,gas-CC,dum,510.0
2011,p131,gas-CT,dum,9.2
2011,p131,lfill-gas,dum,3.3
2011,p132,gas-CC,dum,622.0
2011,p132,gas-CT,dum,208.20000000000002
2011,p134,hydro,dum,1.4
2011,p15,other,dum,1.5
2011,p16,other,dum,1.8
2011,p17,gas-CT,dum,132.3
2011,p18,hydro,dum,13.0
2011,p2,lfill-gas,dum,26.0
2011,p23,coal-new,dum,380.0
2011,p28,gas-CT,dum,520.7999999999998
2011,p31,hydro,dum,3.0
2011,p33,lfill-gas,dum,3.1
2011,p4,hydro,dum,122.0
2011,p40,coal-new,dum,232.0
2011,p42,gas-CT,dum,10.0
2011,p43,gas-CT,dum,10.5
2011,p43,hydro,dum,9.599999999999998
2011,p43,lfill-gas,dum,1.5
2011,p48,gas-CT,dum,331.8000000000001
2011,p5,biopower,dum,19.8
2011,p5,other,dum,1.6
2011,p51,gas-CC,dum,455.0
2011,p51,lfill-gas,dum,1.4
2011,p53,gas-CT,dum,1.9
2011,p54,lfill-gas,dum,1.6
2011,p55,coal-new,dum,275.0
2011,p58,gas-CT,dum,63.0
2011,p58,other,dum,20.5
2011,p59,gas-CC,dum,141.9
2011,p6,lfill-gas,dum,1.6
2011,p63,biopower,dum,50.0
2011,p63,coal-new,dum,825.0
2011,p63,gas-CC,dum,620.5
2011,p63,lfill-gas,dum,7.4
2011,p64,gas-CC,dum,43.4
2011,p65,gas-CT,dum,1.4
2011,p70,gas-CT,dum,17.799999999999997
2011,p72,gas-CT,dum,5.6
2011,p76,gas-CT,dum,53.3
2011,p78,gas-CT,dum,2.0
2011,p78,lfill-gas,dum,1.6
2011,p78,other,dum,2.0
