Nuke60RetireYear,pca,tech,coolingwatertech,cap
2019,p28,o-g-s,none,220.0
2019,p30,o-g-s,none,162.0
2019,p34,CoalOldScr,none,100.0
2019,p38,gas-CT,none,3.8
2019,p43,gas-CT,none,52.0
2019,p43,lfill-gas,none,30.5
2019,p46,biopower,none,18.7
2019,p5,hydro,none,21.9
2019,p50,CoalOldUns,none,1025.0
2019,p50,gas-CT,none,55.0
2019,p52,gas-CT,none,4.1
2019,p53,o-g-s,none,173.0
2019,p54,gas-CT,none,5.5
2019,p64,CoalOldScr,none,470.0
2019,p65,gas-CT,none,2.0
2019,p66,lfill-gas,none,1.7
2019,p67,lfill-gas,none,5.1
2019,p67,o-g-s,none,292.0
2019,p69,gas-CT,none,0.5
2019,p70,gas-CT,none,0.5
2019,p72,biopower,none,19.0
2019,p74,CoalOldScr,none,41.0
2019,p74,CoalOldUns,none,19.5
2019,p76,lfill-gas,none,0.9
2019,p78,lfill-gas,none,4.0
2019,p81,CoalOldUns,none,284.0
2019,p81,coal-new,none,1305.0
2019,p81,gas-CT,none,2.7
2019,p84,gas-CT,none,11.900000000000002
2019,p87,gas-CT,none,10.3
2019,p87,o-g-s,none,202.0
2019,p89,coal-new,none,1034.0
2019,p9,gas-CC,none,50.0
2019,p90,biopower,none,56.0
2019,p90,hydro,none,0.2
2019,p94,CoalOldUns,none,142.0
2019,p94,coal-new,none,840.0
2019,p94,lfill-gas,none,1.6
2019,p98,CoalOldScr,none,116.0
2019,p99,CoalOldScr,none,138.0
2019,p99,biopower,none,84.0
2019,p99,coal-new,none,92.4
2019,p99,gas-CC,none,267.0
2019,p99,gas-CT,none,3.2
2019,p99,lfill-gas,none,3.2
2019,p99,o-g-s,none,543.0
2020,p10,gas-CC,none,690.0
2020,p102,coal-new,none,330.0
2020,p103,CoalOldScr,none,70.0
2020,p103,CoalOldUns,none,190.0
2020,p103,gas-CT,none,8.4
2020,p105,gas-CT,none,31.0
2020,p108,CoalOldScr,none,400.0
2020,p108,coal-new,none,971.0
2020,p112,coal-new,none,1500.0
2020,p122,CoalOldScr,none,42.0
2020,p122,coal-new,none,110.0
2020,p122,lfill-gas,none,70.3
2020,p123,gas-CT,none,232.5
2020,p126,lfill-gas,none,7.0
2020,p127,CoalOldScr,none,686.0
2020,p127,nuclear,none,1012.1
2020,p20,CoalOldScr,none,614.0
2020,p25,gas-CT,none,1.7999999999999998
2020,p28,coal-new,none,380.0
2020,p31,CoalOldScr,none,247.0
2020,p43,CoalOldUns,none,19.8
2020,p43,gas-CT,none,2.7
2020,p43,o-g-s,none,2.6
2020,p50,gas-CT,none,60.0
2020,p54,o-g-s,none,92.0
2020,p55,o-g-s,none,153.0
2020,p57,o-g-s,none,106.0
2020,p58,o-g-s,none,26.0
2020,p60,CoalOldScr,none,650.0
2020,p66,gas-CC,none,87.2
2020,p70,nuclear,none,601.4
2020,p9,gas-CT,none,9.0
2020,p90,CoalOldScr,none,318.0
2020,p90,coal-new,none,238.0
2020,p96,gas-CT,none,381.0
2021,p10,o-g-s,none,1516.0
2021,p107,coal-new,none,222.0
2021,p111,gas-CT,none,24.0
2021,p112,gas-CT,none,13.0
2021,p125,o-g-s,none,103.0
2021,p126,gas-CT,none,5.8
2021,p127,nuclear,none,1039.4
2021,p129,hydro,none,2.9
2021,p132,CoalOldUns,none,383.0
2021,p35,CoalOldScr,none,53.0
2021,p43,CoalOldUns,none,138.0
2021,p69,gas-CT,none,1.8
2021,p70,gas-CC,none,20.0
2021,p82,coal-new,none,138.0
2021,p9,gas-CT,none,54.0
2021,p99,CoalOldScr,none,104.0
2021,p99,o-g-s,none,786.0
2022,p101,coal-new,none,385.0
2022,p101,o-g-s,none,1624.0
2022,p103,CoalOldUns,none,1857.0
2022,p104,nuclear,none,783.5
2022,p116,CoalOldScr,none,1288.0
2022,p12,o-g-s,none,113.0
2022,p131,o-g-s,none,571.0
2022,p31,o-g-s,none,91.0
2022,p34,coal-new,none,325.0
2022,p36,CoalOldScr,none,75.0
2022,p36,CoalOldUns,none,30.0
2022,p37,CoalOldScr,none,1141.0
2022,p43,CoalOldScr,none,682.0
2022,p59,o-g-s,none,74.0
2022,p69,gas-CT,none,3.7
2022,p70,CoalOldUns,none,214.0
2022,p72,CoalOldUns,none,594.0
2022,p72,o-g-s,none,239.0
2022,p77,coal-new,none,290.0
2022,p82,CoalOldUns,none,555.0
2023,p101,o-g-s,none,75.0
2023,p105,CoalOldScr,none,722.0
2023,p107,CoalOldScr,none,983.0
2023,p118,gas-CT,none,80.0
2023,p127,gas-CT,none,413.79999999999995
2023,p99,coal-new,none,670.0
2024,p101,CoalOldScr,none,342.0
2024,p41,o-g-s,none,241.6
2024,p59,o-g-s,none,102.0
2024,p82,CoalOldScr,none,188.0
2024,p92,coal-new,none,870.0
2024,p97,coal-new,none,582.0
2025,p25,CoalOldScr,none,1800.0
2025,p54,o-g-s,none,12.4
2025,p9,nuclear,none,1122.0
2026,p111,nuclear,none,1240.0
2026,p12,CoalOldScr,none,268.0
2026,p12,CoalOldUns,none,254.0
2026,p12,o-g-s,none,113.0
2026,p2,CoalOldScr,none,670.0
2026,p34,coal-new,none,335.0
2026,p43,CoalOldScr,none,680.0
2026,p51,CoalOldUns,none,460.0
2026,p9,nuclear,none,1118.0
2027,p24,CoalOldUns,none,210.0
2027,p24,coal-new,none,220.0
2028,p107,CoalOldUns,none,1300.0
2028,p43,coal-new,none,511.0
2028,p85,CoalOldUns,none,1632.0
2029,p127,nuclear,none,626.0
2029,p21,o-g-s,none,330.0
2029,p97,coal-new,none,516.0
2030,p106,gas-CT,none,288.0
2030,p127,nuclear,none,582.0
2030,p48,o-g-s,none,244.0
2030,p75,nuclear,none,598.1
2030,p80,nuclear,none,902.0
2030,p85,CoalOldUns,none,1678.0
2031,p43,nuclear,none,617.0
2031,p48,o-g-s,none,243.0
2031,p80,nuclear,none,895.0
2031,p96,nuclear,none,741.0
2032,p102,nuclear,none,802.0
2032,p75,nuclear,none,597.9
